code_dept,communes_rga,communes_rga_dicrim,communes_rga_sans_dicrim,pct_dicrim,pct_sans_dicrim,prix_median_maison,nb_transactions,nb_catnat_secheresse,dans_fonds_prevention
01,0,0,0,,,260000.0,5383,382,non
02,0,0,0,,,115000.0,6162,111,non
03,20,8,12,40.0,60.0,110000.0,4999,973,oui
04,113,84,29,74.3,25.7,230000.0,1755,225,oui
05,30,18,12,60.0,40.0,258600.0,1037,33,non
06,73,73,0,100.0,0.0,604900.0,5418,337,non
07,0,0,0,,,205000.0,3534,353,non
08,0,0,0,,,117000.0,2905,81,non
09,0,0,0,,,138600.0,2465,225,non
10,430,149,281,34.7,65.3,142880.0,2951,202,non
11,426,73,353,17.1,82.9,163965.0,5856,935,non
12,245,32,213,13.1,86.9,139000.0,3099,136,non
13,61,57,4,93.4,6.6,400000.0,9085,923,non
14,0,0,0,,,230000.0,9078,77,non
15,0,0,0,,,119700.0,1712,38,non
16,0,0,0,,,137000.0,5362,490,non
17,415,32,383,7.7,92.3,232531.51,9902,1600,non
18,0,0,0,,,103775.0,4898,817,non
19,0,0,0,,,130590.0,3502,190,non
21,121,68,53,56.2,43.8,200000.0,4298,571,non
22,346,109,237,31.5,68.5,180000.0,9637,2,non
23,0,0,0,,,76000.0,2351,38,non
24,489,119,370,24.3,75.7,165000.0,7588,1779,oui
25,0,0,0,,,200000.0,3445,446,non
26,0,0,0,,,250000.0,4600,259,non
27,151,116,35,76.8,23.2,182600.0,8423,101,non
28,39,11,28,28.2,71.8,172400.0,5331,198,non
29,0,0,0,,,210000.0,10941,10,non
2A,0,0,0,,,509600.0,951,1,non
2B,0,0,0,,,260000.0,810,3,non
30,349,347,2,99.4,0.6,243160.0,6854,750,non
31,0,0,0,,,266025.0,9382,2552,non
32,0,0,0,,,170000.0,2497,2420,oui
33,527,30,497,5.7,94.3,293000.0,14353,1947,non
34,332,72,260,21.7,78.3,270000.0,9594,785,non
35,76,29,47,38.2,61.8,232805.0,9551,32,non
36,125,28,97,22.4,77.6,89925.0,3622,878,oui
37,31,9,22,29.0,71.0,205000.0,6760,859,non
38,16,0,16,0.0,100.0,275000.0,7641,122,non
39,0,0,0,,,170000.0,2540,866,non
40,325,130,195,40.0,60.0,245000.0,5363,223,non
41,267,91,176,34.1,65.9,140000.0,4991,533,non
42,298,64,234,21.5,78.5,205000.0,5436,267,non
43,37,8,29,21.6,78.4,143800.0,2617,149,non
44,171,52,119,30.4,69.6,270000.0,13085,82,non
45,323,96,227,29.7,70.3,173500.0,7618,886,non
46,311,114,197,36.7,63.3,170000.0,2850,364,non
47,295,65,230,22.0,78.0,165000.0,5316,1553,oui
48,46,19,27,41.3,58.7,136000.0,763,7,non
49,177,63,114,35.6,64.4,200000.0,8660,506,non
50,0,0,0,,,171000.0,8622,14,non
51,343,9,334,2.6,97.4,180000.0,4116,122,non
52,0,0,0,,,90000.0,2125,253,non
53,149,110,39,73.8,26.2,135000.0,4517,9,non
54,0,0,0,,,176225.0,5830,1377,oui
55,496,119,377,24.0,76.0,109500.0,2164,206,non
56,250,84,166,33.6,66.4,231221.0,10302,17,non
57,1,0,1,0.0,100.0,,,1520,non
58,0,0,0,,,84000.0,3339,567,non
59,0,0,0,,,175000.0,23956,1162,oui
60,0,0,0,,,205653.0,7738,108,non
61,12,3,9,25.0,75.0,130000.0,4853,87,non
62,79,1,78,1.3,98.7,157420.0,14805,397,non
63,85,69,16,81.2,18.8,160000.0,6544,992,oui
64,0,0,0,,,269000.0,5172,336,non
65,459,115,344,25.1,74.9,167592.5,2286,196,non
66,5,5,0,100.0,0.0,215000.0,5512,68,non
67,484,187,297,38.6,61.4,,,199,non
68,360,305,55,84.7,15.3,,,25,non
69,4,2,2,50.0,50.0,367500.0,6780,332,non
70,34,16,18,47.1,52.9,122000.0,2730,289,non
71,207,59,148,28.5,71.5,146852.5,6488,1024,non
72,0,0,0,,,145000.0,7567,405,non
73,1,1,0,100.0,0.0,320190.5,2750,39,non
74,0,0,0,,,465000.0,4371,87,non
75,0,0,0,,,1400000.0,137,1,non
76,0,0,0,,,192475.0,12772,26,non
77,507,111,396,21.9,78.1,280000.0,10736,928,non
78,5,0,5,0.0,100.0,390000.0,7038,774,non
79,244,27,217,11.1,88.9,135135.0,5633,799,non
80,0,0,0,,,145000.0,6583,21,non
81,0,0,0,,,170000.0,4861,1307,oui
82,195,80,115,41.0,59.0,197000.0,3365,1370,oui
83,106,93,13,87.7,12.3,431000.0,11834,542,non
84,151,60,91,39.7,60.3,280000.0,5275,553,non
85,258,212,46,82.2,17.8,210380.6,10997,529,non
86,266,154,112,57.9,42.1,139000.0,5766,1220,non
87,0,0,0,,,136400.0,4801,48,non
88,367,78,289,21.3,78.7,138500.0,3848,326,non
89,417,92,325,22.1,77.9,125000.0,4703,537,non
90,101,100,1,99.0,1.0,180000.0,848,80,non
91,2,0,2,0.0,100.0,310500.0,6707,441,non
92,22,18,4,81.8,18.2,785700.0,2093,132,non
93,40,13,27,32.5,67.5,317500.0,3782,206,non
94,0,0,0,,,458885.0,3164,231,non
95,39,34,5,87.2,12.8,323000.0,5796,356,non
971,0,0,0,,,215000.0,1372,1,non
972,0,0,0,,,189400.0,1150,0,non
973,0,0,0,,,250000.0,768,0,non
974,0,0,0,,,239245.75,3215,0,non
