code_departement,annee,prix_median_maison,prix_moyen_maison,prix_q1_maison,prix_q3_maison,nb_transactions_maison
01,2024,260000.00,319264.69,180000.00,370000.00,5383
02,2024,115000.00,133537.45,70000.00,170000.00,6162
03,2024,110000.00,211316.00,65000.00,172000.00,4999
04,2024,230000.00,262953.74,142000.00,315000.00,1755
05,2024,258600.00,290544.33,147950.00,370250.00,1037
06,2024,604900.00,1455533.71,375000.00,1085825.00,5418
07,2024,205000.00,221713.98,125000.00,281000.00,3534
08,2024,117000.00,136712.53,69000.00,171900.00,2905
09,2024,138600.00,162973.76,82000.00,205000.00,2465
10,2024,142880.00,159159.41,87188.29,200000.00,2951
11,2024,163965.00,202356.37,98050.00,247175.00,5856
12,2024,139000.00,159467.37,75500.00,218870.00,3099
13,2024,400000.00,905682.34,275000.00,604500.00,9085
14,2024,230000.00,327215.84,150000.00,340000.00,9078
15,2024,119700.00,132399.54,69190.00,180671.44,1712
16,2024,137000.00,157799.95,85000.00,191425.00,5362
17,2024,232531.51,296922.76,151895.00,348209.00,9902
18,2024,103775.00,148232.72,60650.00,160000.00,4898
19,2024,130590.00,182578.24,80000.00,195500.00,3502
21,2024,200000.00,256822.35,120000.00,280000.00,4298
22,2024,180000.00,215703.00,114500.00,265000.00,9637
23,2024,76000.00,97382.89,40000.00,125000.00,2351
24,2024,165000.00,215892.80,105000.00,251202.50,7588
25,2024,200000.00,221512.78,130000.00,280915.00,3445
26,2024,250000.00,296569.40,178962.50,346300.00,4600
27,2024,182600.00,239380.73,130530.00,244250.00,8423
28,2024,172400.00,199139.59,119000.00,237000.00,5331
29,2024,210000.00,241442.66,146000.00,294000.00,10941
2A,2024,509600.00,843431.57,250000.00,971210.00,951
2B,2024,260000.00,353584.13,140777.50,425750.00,810
30,2024,243160.00,293787.85,167000.00,344150.25,6854
31,2024,266025.00,330188.00,189117.50,369925.00,9382
32,2024,170000.00,196940.41,110000.00,248250.00,2497
33,2024,293000.00,469078.90,191950.00,428580.00,14353
34,2024,270000.00,369917.23,160862.50,400000.00,9594
35,2024,232805.00,278969.97,153000.00,330000.00,9551
36,2024,89925.00,122510.03,52000.00,142575.00,3622
37,2024,205000.00,252712.99,131000.00,290000.00,6760
38,2024,275000.00,333771.78,200000.00,365850.00,7641
39,2024,170000.00,192841.89,115000.00,238850.00,2540
40,2024,245000.00,335529.87,168000.00,364250.00,5363
41,2024,140000.00,176133.72,93000.00,200000.00,4991
42,2024,205000.00,234323.02,140000.00,274460.00,5436
43,2024,143800.00,156687.30,80000.00,218000.00,2617
44,2024,270000.00,317818.33,185000.00,375000.00,13085
45,2024,173500.00,247205.59,120000.00,244000.00,7618
46,2024,170000.00,194298.98,108858.75,243000.00,2850
47,2024,165000.00,745627.67,104610.00,246100.00,5316
48,2024,136000.00,179967.49,77000.00,207300.00,763
49,2024,200000.00,232471.76,137500.00,272000.00,8660
50,2024,171000.00,198224.86,110000.00,240000.00,8622
51,2024,180000.00,210099.36,120000.00,252875.00,4116
52,2024,90000.00,105764.90,48000.00,140000.00,2125
53,2024,135000.00,157401.80,83000.00,200750.00,4517
54,2024,176225.00,201475.47,120000.00,244850.00,5830
55,2024,109500.00,126589.11,60000.00,160000.00,2164
56,2024,231221.00,299319.55,140500.00,360000.00,10302
58,2024,84000.00,102985.88,45000.00,135000.00,3339
59,2024,175000.00,244944.14,111000.00,263667.50,23956
60,2024,205653.00,988571.32,147000.00,282575.00,7738
61,2024,130000.00,304093.25,78000.00,193000.00,4853
62,2024,157420.00,211970.84,107580.00,225000.00,14805
63,2024,160000.00,187538.53,87000.00,245000.00,6544
64,2024,269000.00,400225.81,180515.00,430000.00,5172
65,2024,167592.50,184693.23,118000.00,230000.00,2286
66,2024,215000.00,256339.26,140000.00,300000.00,5512
69,2024,367500.00,449087.32,252200.00,516700.00,6780
70,2024,122000.00,133645.99,70000.00,175000.00,2730
71,2024,146852.50,176913.80,90000.00,213000.00,6488
72,2024,145000.00,167765.54,90000.00,205000.00,7567
73,2024,320190.50,463407.23,195521.00,483200.00,2750
74,2024,465000.00,646696.95,339000.00,655500.00,4371
75,2024,1400000.00,3251244.34,762500.00,2820000.00,137
76,2024,192475.00,286427.56,137000.00,267967.50,12772
77,2024,280000.00,390551.24,203000.00,365837.50,10736
78,2024,390000.00,522115.98,282837.50,598625.00,7038
79,2024,135135.00,154044.77,83000.00,195035.50,5633
80,2024,145000.00,197272.95,94000.00,210000.00,6583
81,2024,170000.00,195494.96,110000.00,242840.00,4861
82,2024,197000.00,238081.78,130000.00,263225.00,3365
83,2024,431000.00,1275599.68,298000.00,730000.00,11834
84,2024,280000.00,421161.72,195000.00,420000.00,5275
85,2024,210380.60,250622.38,147500.00,290000.00,10997
86,2024,139000.00,160790.75,82000.00,199900.00,5766
87,2024,136400.00,156401.69,80000.00,202000.00,4801
88,2024,138500.00,154438.78,80000.00,199000.00,3848
89,2024,125000.00,157326.80,75000.00,175000.00,4703
90,2024,180000.00,216520.78,126650.00,247000.00,848
91,2024,310500.00,430948.53,250000.00,399000.00,6707
92,2024,785700.00,1170229.15,534575.00,1131750.00,2093
93,2024,317500.00,586621.81,250000.00,420000.00,3782
94,2024,458885.00,731954.95,339075.00,680000.00,3164
95,2024,323000.00,495739.11,255000.00,420000.00,5796
971,2024,215000.00,376780.10,68100.00,409627.50,1372
972,2024,189400.00,249494.13,72000.00,351545.00,1150
973,2024,250000.00,681043.64,132500.00,500000.00,768
974,2024,239245.75,475949.83,141346.00,385000.00,3215
